video_id,video_title,description,channel_id,channel_name,channel_subscriber_count,channel_video_count,published_at,duration_sec,video_format,view_count,like_count,comment_count,video_url,matched_perf_id,matched_title,matched_genre,season_match,substring_hit,quote_hit,venue_match,date_match
6SXUp1kcVq4,특별한 오페라 공연#세빌리아의 이발사#공연 #오페라,,UCn-NwkeSnJLrNpP5nFCqd6A,민희티비,106,82,2024-07-24T11:06:25Z,28,shorts,128,5,0,https://www.youtube.com/watch?v=6SXUp1kcVq4,PF245308,세빌리아의 이발사 [오산],서양음악(클래식),current_season,True,False,False,True
X5HswLglBuQ,surprise #김숙영 #뮤지컬 #오페라#세빌리아의이발사 #노블아트오페라단,갑작스런 출연자의 부재로 대신 무대로 올라갑니다.. surprise!!!!,UClitSGqUOnU8cooEikS34cg,김숙영의 무대 이야기,383,45,2024-09-10T13:37:56Z,60,shorts,519,30,0,https://www.youtube.com/watch?v=X5HswLglBuQ,PF245308,세빌리아의 이발사 [오산],서양음악(클래식),current_season,True,False,False,True
d81i2OmMzlI,오페라계의 최강 비주얼 연기파! 피가로 바리톤 김종표. 연습 시작 전에 미니 인터뷰! #오페라 #김숙영 #노블아트오페라단 #바리톤 김종표 #피가로 #세빌리아의이발사,"노블아트오페라단 로시니의 오페라 세빌리아의 이발사 좋은 가수는 나쁜 연출을 커버할 수 있지만, 좋은 연출은 절대 나쁜 가수를 커버 ...",UClitSGqUOnU8cooEikS34cg,김숙영의 무대 이야기,383,45,2024-07-28T05:53:13Z,441,general,773,33,7,https://www.youtube.com/watch?v=d81i2OmMzlI,PF245308,세빌리아의 이발사 [오산],서양음악(클래식),current_season,True,False,False,True
Mmgys5Phb_0,240824 - 소리꾼 김준수F  in 변강쇠 점 찍고 옹녀 (대구),창극 변강쇠 점 찍고 옹녀 대구 커튼콜 #소리꾼김준수.,UCads6ftXDpFYlCHv-CjSVbw,뮤,1260,24,2024-08-25T11:14:52Z,72,general,1028,63,6,https://www.youtube.com/watch?v=Mmgys5Phb_0,PF245160,변강쇠 점 찍고 옹녀 [대구],한국음악(국악),current_season,True,False,False,True
2kZvfRVEnzw,D-1. 민속악단 정기공연 〈다시 그리는 노래〉🌿,"D-1. 민속악단 정기공연 〈다시 그리는 노래〉   ""흙 속에 묻혀있던 음악들이 옥석처럼 탄생했을 때의 그 기쁨이 매우 큽니다"" - 유지숙 ...",UCmN4xFSlmWw-_d2riM-ep0A,국립국악원 National Gugak Center,72800,3578,2025-04-09T07:16:56Z,129,general,903,30,0,https://www.youtube.com/watch?v=2kZvfRVEnzw,PF261353,민속악단 정기공연: 다시 그리는 노래,한국음악(국악),current_season,True,True,False,True
2yUvsE7Xpmg,Interview / 국립국악원 민속악단 정기공연 〈다시 그리는 노래〉/ 연출 김태욱,"국립국악원 #민속악단 #정기공연 D-1. 민속악단 정기공연 〈다시 그리는 노래〉   ""흙 속에 묻혀있던 음악들이 옥석처럼 탄생했을 때 ...",UC1V82E3cL-3i6V6a3nyr4vA,Creative KIM,109,67,2025-05-22T07:00:08Z,129,general,114,2,2,https://www.youtube.com/watch?v=2yUvsE7Xpmg,PF261353,민속악단 정기공연: 다시 그리는 노래,한국음악(국악),current_season,True,True,True,True
eYJr03_Vvbw,단가 &#39;청류원&#39;,2025 국립국악원 민속악단 정기연주 ' 다시 그리는 노래' 국립국악원 예악당 4월 10일~11일 정남희 단가 '청류원'(복원연주) *본 채널 ...,UCHTz-Yq831c0-liiTAdSq5Q,THE Weiheekyung,158,61,2025-12-25T15:01:20Z,229,general,156,6,0,https://www.youtube.com/watch?v=eYJr03_Vvbw,PF261353,민속악단 정기공연: 다시 그리는 노래,한국음악(국악),current_season,True,True,True,False
SZSrVVREanQ,(9/25-9/26) 창작악단 정기공연〈전통의 재발견Ⅵ - 굿🌿〉,국악의 뿌리이자 한민족의 다양한 감정과 이야기가 담긴 '굿'을 주제로 4명의 작곡가에게 위촉한 작품을 4명의 명인과 함께 초연 ...,UCmN4xFSlmWw-_d2riM-ep0A,국립국악원 National Gugak Center,72800,3578,2025-09-12T05:14:29Z,50,shorts,713,7,0,https://www.youtube.com/watch?v=SZSrVVREanQ,PF270512,"국립국악원 창작악단 정기공연, 전통의 재발견 Ⅵ",한국음악(국악),current_season,True,False,False,True
U916K37Q8ss,(5/11-5/12) 2023 창작악단 정기공연 〈전통의 재발견 Ⅲ〉✨,국악관현악으로 재창조되는 전통 선율! 2023 창작악단 정기공연 〈전통의 재발견 Ⅲ〉 국립국악원 창작악단의 '전통의 재발견' 시리즈 ...,UCmN4xFSlmWw-_d2riM-ep0A,국립국악원 National Gugak Center,72800,3578,2023-04-25T01:03:06Z,16,shorts,2747,56,2,https://www.youtube.com/watch?v=U916K37Q8ss,PF270512,"국립국악원 창작악단 정기공연, 전통의 재발견 Ⅵ",한국음악(국악),current_season,True,False,True,False
onf1Y0Erymw,(5/26 - 5/27) 2022 창작악단 정기공연 〈전통의 재발견II〉,"대비와 조화, 전통과 현대 국립국악원 창작악단 〈전통의 재발견II〉 만파식적 설화, 표정만방지곡, 한오백년, 산조가 국악관현악으로 ...",UCmN4xFSlmWw-_d2riM-ep0A,국립국악원 National Gugak Center,72800,3578,2022-04-22T01:30:06Z,19,shorts,1528,26,0,https://www.youtube.com/watch?v=onf1Y0Erymw,PF270512,"국립국악원 창작악단 정기공연, 전통의 재발견 Ⅵ",한국음악(국악),current_season,True,False,True,False
