perf_id,title,genre,venue_name,perf_start_date,perf_end_date,total_ticket_sales_qty,verified_video_count
PF287735,김영욱 x 콜레기움 무지쿰 서울: 8 Seasons [여수],서양음악(클래식),GS칼텍스 예울마루 대극장,2026-05-07,2026-05-07,209,0
PF238869,제71회 충주시립우륵국악단 정기연주회,한국음악(국악),충주시문화회관,2024-04-25,2024-04-25,208,0
PF265637,"부산시립국악관현악단 예술교육공연, 재밌는 국악 신나는 국악 (6월)",한국음악(국악),부산문화회관 중극장,2025-06-04,2025-06-04,208,0
PF257043,경셩유행가: 판을 나온 소리 [공주],한국음악(국악),공주문예회관 대공연장,2025-05-23,2025-05-23,207,2
PF242567,"제15회 대한민국 국공립극단 페스티벌, 뻘 [경주]",연극,경주예술의전당 대공연장(화랑홀),2024-07-09,2024-07-09,206,0
PF278903,쪽빛 황혼 [청양],연극,청양문예회관 대공연장,2025-11-27,2025-11-27,206,0
PF288325,토요일 토요일은 클래식 Vol 2. 제주특별자치도립 서귀포합창단: 목소리의 온기,서양음악(클래식),김정문화회관,2026-04-11,2026-04-11,206,0
PF249183,오즈의 의류수거함 [양구],뮤지컬,양구문화복지센터,2024-09-28,2024-09-28,206,0
PF239973,"광주시립창극단 교류공연, 국립민속국악원 찾아가는 국악원",한국음악(국악),광주 예술의 전당 소극장,2024-05-08,2024-05-08,205,2
PF278409,자라는 자라 [정선],한국음악(국악),정선아리랑센터 아리랑홀,2025-06-20,2025-06-20,204,2
PF275206,대전시립합창단 기획연주회 Ⅵ. 가족 정원,서양음악(클래식),대전예술의전당 앙상블홀,2025-10-31,2025-10-31,204,0
PF252542,"국립국악원 창작악단, 환상기행 [논산]",한국음악(국악),논산아트센터(구. 논산문화예술회관) 대공연장,2024-11-06,2024-11-06,204,0
PF243118,이기동체육관 [영덕],연극,예주문화예술회관,2024-07-13,2024-07-13,204,0
PF237856,"ACC 수요극장, 국립무용단: 묵향",무용(서양/한국무용),국립아시아문화전당 극장3,2024-04-03,2024-04-03,203,0
PF277835,매우 춰라! [의성],한국음악(국악),의성문화회관,2025-11-13,2025-11-13,203,0
PF248181,제110회 원주시립합창단 정기연주회,서양음악(클래식),원주치악예술관,2024-09-26,2024-09-26,203,1
PF250069,Pool [광주],무용(서양/한국무용),광주 예술의 전당 소극장,2024-10-15,2024-10-15,203,0
PF250926,정수정전 [공주],뮤지컬,공주문예회관 대공연장,2024-11-08,2024-11-08,203,0
PF277646,부산시립교향악단 기획음악회: 실내악 시리즈 Ⅴ. 줌인 Ⅲ,서양음악(클래식),부산문화회관 챔버홀,2025-12-02,2025-12-02,203,0
PF250888,"국립합창단 청년교육단원 합창연주회: 가을밤, 시 그리고 낭만 [거창]",서양음악(클래식),거창문화센터 공연장,2024-10-15,2024-10-15,202,0
PF254808,이기동 체육관 [울진],연극,울진문화예술회관,2024-12-12,2024-12-12,202,0
PF265798,"부산시립청소년교향악단 예술교육공연, 재밌는 클래식 맛있는 클래식",서양음악(클래식),부산문화회관 대극장,2025-06-04,2025-06-04,202,1
