video_id,matched_perf_id,matched_title,video_title,high_confidence_other_work,low_confidence_other_work,video_url,confidence
M1j0ROmfBAg,PF284423,"국립현대무용단, 머스탱과 개꿈",국립현대무용단 &#39;머스탱과 개꿈&#39;,,"[('PF275651', '서울')]",https://www.youtube.com/watch?v=M1j0ROmfBAg,low
F8Y2jSRu5TQ,PF264117,국립국악원 창작악단 기획공연: 연주자 그리고 작곡가 Ⅱ,(5/30)〈연주자 그리고 작곡가 II〉- 철현금 협주곡〈Climb: 내면을 향한 여정〉 (작곡·협연_류경화),,"[('PF240772', '연주자 그리고 작곡가')]",https://www.youtube.com/watch?v=F8Y2jSRu5TQ,low
O4HW2tSGSXs,PF264117,국립국악원 창작악단 기획공연: 연주자 그리고 작곡가 Ⅱ,(5/30)〈 연주자 그리고 작곡가 II〉- 대금 협주곡〈은하수〉(작곡·협연_정소희),,"[('PF240772', '연주자 그리고 작곡가'), ('PF262024', '수작')]",https://www.youtube.com/watch?v=O4HW2tSGSXs,low
FesC3Xp6U5w,PF264117,국립국악원 창작악단 기획공연: 연주자 그리고 작곡가 Ⅱ,(5/30) 〈연주자 그리고 작곡가 II〉 - 12현 소아쟁 협주곡 〈파도〉(작곡·협연_김선제),,"[('PF240772', '연주자 그리고 작곡가')]",https://www.youtube.com/watch?v=FesC3Xp6U5w,low
RrfeOV1yMhc,PF258959,"국립현대무용단, 인잇: 보이지 않는 것",새로운 춤의 공존을 선보이는 무대ㅣ국립현대무용단〈인잇: 보이지 않는 것〉ㅣ3.21-23ㅣ예술의전당 CJ 토월극장,,"[('PF230611', '인잇')]",https://www.youtube.com/watch?v=RrfeOV1yMhc,low
65zcpBmKVgg,PF258959,"국립현대무용단, 인잇: 보이지 않는 것",새로운 춤의 공존ㅣ국립현대무용단〈인잇: 보이지 않는 것〉ㅣ3.21-23ㅣ예술의전당 CJ 토월극장,,"[('PF230611', '인잇')]",https://www.youtube.com/watch?v=65zcpBmKVgg,low
Q9mp9-z2tHs,PF258959,"국립현대무용단, 인잇: 보이지 않는 것",DANCE ﻿무용극 인잇 보이지 않는 것﻿ 커튼콜 - ﻿국립현대무용단,,"[('PF230611', '인잇')]",https://www.youtube.com/watch?v=Q9mp9-z2tHs,low
vj-ZPoGFIZ4,PF269619,"국립무용단, 안무가 프로젝트",#국립무용단 #안무가프로젝트 #박수윤 #안무 #죽페스 #한국무용,,"[('PF279326', '축제')]",https://www.youtube.com/watch?v=vj-ZPoGFIZ4,low
F0vq2wF6HRM,PF269619,"국립무용단, 안무가 프로젝트",#국립무용단 #2025안무가프로젝트 #박수윤 #죽페스,,"[('PF279326', '축제')]",https://www.youtube.com/watch?v=F0vq2wF6HRM,low
jgt8ZhvCpyk,PF248278,이희문 프로젝트: 오방신과 스팽글 [대구],[대구]#이희문 프로젝트 오방신과 스팽글 2024.10.19 #nana_music,,"[('PF288988', '오방신과')]",https://www.youtube.com/watch?v=jgt8ZhvCpyk,low
